frequency_rank,character,pinyin,definition,radical,radical_code,stroke_count,hsk_level,general_standard_num
220,尔,ěr,"you; that, those; final particle",小,42.2,5,4,0286
221,更,gèng,"more, still further, much more",曰,73.3,7,3,0693
222,别,bié,"separate, other; do not",刀,18.5,7,2,0751
223,打,dǎ,"strike, hit, beat; fight; attack",手,64.2,5,1,0196
224,女,nǚ,"woman, girl; feminine; rad. 38",女,38.0,3,1,0067
225,变,biàn,"change, transform, alter; rebel",又,29.6,8,3,1204
226,四,sì,four,囗,31.2,5,1,0262
227,神,shén,"spirit, god, supernatural being",示,113.5,9,5,1711
228,总,zǒng,"collect; overall, altogether",八,12.7,9,3,1654
229,何,hé,"what, why, where, which, how",人,9.5,7,4,0771
230,电,diàn,electricity; electric; lightning,曰,73.1,5,1,0242
231,数,shù,"number; several, count; fate",攴,66.9,13,3,2999
232,安,ān,"peaceful, tranquil, quiet",宀,40.3,6,3,0549
233,少,shǎo,"few, less, inadequate",小,42.1,4,1,0110
234,报,bào,"report, tell, announce",手,64.4,7,2,0656
235,才,cái,"talent, ability; just, only",手,64.0,3,3,0029
236,结,jié,"knot, tie; join, connect",糸,120.6,9,3,1754
237,反,fǎn,"reverse, opposite, contrary, anti",又,29.2,4,4,0139
238,受,shòu,"receive, accept, get; bear, stand",又,29.6,8,4,1174
239,目,mù,"eye; look, see; division, topic",目,109.0,5,3,0236
240,太,tài,"very, too, much; big; extreme",大,37.1,4,1,0093
241,量,liàng,"measure, quantity, capacity",里,166.5,12,4,2616
242,再,zài,"again, twice, re-",冂,13.4,6,1,0382
243,感,gǎn,"feel, perceive, emotion",心,61.9,13,3,2875
244,建,jiàn,"build, establish, erect, found",廴,54.6,8,4,1302
245,务,wù,"affairs, business; must, should",夂,34.2,5,2,0297
246,做,zuò,"work, make; act",人,9.9,11,1,2324
247,接,jiē,receive; continue; catch; connect,手,64.8,11,3,2185
248,必,bì,"surely, most certainly; must",心,61.1,5,3,0321
249,场,chǎng,"open space, field, market",土,32.3,6,2,0367
250,件,jiàn,numerary adjunct for article; matter,人,9.4,6,2,0466
251,计,jì,"plan, plot; strategem; scheme",言,149.2,4,4,0168
252,管,guǎn,"pipe, tube, duct; woodwind music",竹,118.8,14,4,3123
253,期,qī,period of time; date; time limit,月,74.8,12,1,2542
254,市,shì,"market, fair; city, town; trade",巾,50.2,5,3,0301
255,直,zhí,"straight, erect, vertical",目,109.3,8,3,1011
256,德,dé,"ethics, morality, virtue",彳,60.12,15,5,3272
257,资,zī,property; wealth; capital,貝,154.6,10,4,2039
258,命,mìng,"life; destiny, fate, luck; an order, instruction",口,30.5,8,4,1168
259,山,shān,"mountain, hill, peak",山,46.0,3,3,0039
260,金,jīn,gold; metals in general; money,金,167.0,8,4,1166
261,指,zhǐ,"finger, toe; point, indicate",手,64.6,9,4,1389
262,克,kè,gram; overcome; transliteration,儿,10.5,7,4,0675
263,许,xǔ,"allow, permit; promise; betroth",言,149.4,6,4,0554
264,统,tǒng,"govern, command, control; unite",糸,120.6,9,5,1765
265,区,qū,"area, district, region, ward",匸,23.2,4,4,0094
266,保,bǎo,"protect, safeguard, defend, care",人,9.7,9,4,1562
267,至,zhì,"reach, arrive; extremely, very",至,133.0,6,4,0410
268,队,duì,"team, group; army unit",阜,170.2,4,4,0180
269,形,xíng,"form, shape, appearance",彡,59.4,7,5,0604
270,社,shè,"god of the soil and altars to him; group of families; company, society",示,113.3,7,4,0890
271,便,biàn,"convenience, ease; expedient",人,9.7,9,2,1556
272,空,kōng,"empty, hollow, bare, deserted",穴,116.3,8,3,1282
273,决,jué,"decide, determine, judge",冫,15.4,6,3,0523
274,治,zhì,"govern, regulate, administer",水,85.5,8,5,1264
275,展,zhǎn,"open, unfold; stretch, extend",尸,44.7,10,4,2131
276,马,mǎ,horse; surname; KangXi radical 187,馬,187.0,3,3,0072
277,科,kē,"section, department, science",禾,115.4,9,4,1551
278,司,sī,"take charge of, control, manage; officer",口,30.2,5,2,0325
279,五,wǔ,five; surname,二,7.2,4,1,0088
280,基,jī,"foundation, base",土,32.8,11,4,2193
281,眼,yǎn,"eye; eyelet, hole, opening",目,109.6,11,2,2263
282,书,shū,"book, letter, document; writings",丨,2.3,4,1,0188
283,非,fēi,"not, negative, non-; oppose",非,175.0,8,2,1064
284,则,zé,"rule, law, regulation; grades",刀,18.4,6,4,0440
285,听,tīng,"hear; understand; obey, comply",口,30.4,7,1,0739
286,白,bái,"white; pure, unblemished; bright",白,106.0,5,2,0275
287,却,què,"still, but; decline; retreat",卩,26.5,7,4,0658
288,界,jiè,"boundary, limit; domain; society; the world",田,102.4,9,3,1496
289,达,dá,"arrive at, reach; intelligent; smooth, slippery",辵,162.3,6,5,0398
290,光,guāng,"light, brilliant, shine; only",儿,10.4,6,4,0417
291,放,fàng,"put, release, free, liberate",攴,66.4,8,3,1223
292,强,qiáng,"strong, powerful, energetic",弓,57.9,12,5,2802
293,即,jí,"promptly, quickly, immediately",卩,26.5,7,4,0901
294,像,xiàng,"a picture, image, figure; to resemble",人,9.12,13,3,2961
295,难,nán,"difficult, arduous, hard; unable",又,29.8,10,3,2147
296,且,qiě,"moreover, also (post-subject); about to, will soon (pre-verb)",一,1.4,5,3,0237
297,权,quán,"power, right, authority",木,75.2,6,5,0378
298,思,sī,"think, consider, ponder; final particle",心,61.5,9,2,1500
299,王,wáng,"king, ruler; royal; surname",玉,96.0,4,5,0075
300,象,xiàng,"elephant; ivory; figure, image",豕,152.5,11,4,2361
301,完,wán,"complete, finish, settle; whole",宀,40.4,7,2,0877
302,设,shè,build; establish; display,言,149.4,6,5,0560
303,式,shì,"style, system, formula, rule",弋,56.3,6,4,0349
304,色,sè,"color, tint, hue, shade; form, body; beauty, desire for beauty",色,139.0,6,2,0509
305,路,lù,"road, path, street; journey",足,157.6,13,2,2918
306,记,jì,"record; keep in mind, remember",言,149.3,5,3,0323
307,南,nán,south; southern part; southward,十,24.7,9,3,1422
308,品,pǐn,"article, product, commodity",口,30.6,9,5,1503
309,住,zhù,"reside, live at, dwell, lodge; stop",人,9.5,7,1,0783
310,告,gào,"tell, announce, inform; accuse",口,30.4,7,2,0760
311,类,lèi,"class, group, kind, category",大,37.6,9,5,1646
312,求,qiú,"seek; demand, request; beseech",水,85.2,7,3,0690
313,据,jù,"to occupy, take possession of; a base, position",手,64.8,11,3,2189
314,程,chéng,"journey, trip; schedule, agenda",禾,115.7,12,4,2677
315,北,běi,north; northern; northward,匕,21.3,5,1,0227
316,边,biān,"edge, margin, side, border",辵,162.2,5,2,0337
317,死,sǐ,die; dead; death,歹,78.2,6,4,0400
318,张,zhāng,"stretch, extend, expand; sheet",弓,57.4,7,3,0909
319,该,gāi,"should, ought to, need to",言,149.6,8,3,1300
320,交,jiāo,"mix; intersect; exchange, communicate; deliver",亠,8.4,6,4,0519
321,规,guī,"rules, regulations, customs, law",見,147.4,8,4,0952
322,万,wàn,ten thousand; innumerable,一,1.2,3,3,0035
323,取,qǔ,"take, receive, obtain; select",又,29.6,8,4,0997
324,拉,lā,"pull, drag; seize, hold; lengthen",手,64.5,8,4,0981
325,格,gé,"pattern, standard, form; style",木,75.6,10,4,1845
326,望,wàng,"to look at, look forward; to hope, expect",月,74.7,11,2,2394
327,觉,jué,to wake up from sleep; conscious,見,147.5,9,1,1694
328,术,shù,"art, skill, special feat; method, technique",木,75.1,5,4,0211
329,领,lǐng,"neck; collar; lead, guide",頁,181.5,11,5,2354
330,共,gòng,"together with, all, total; to share",八,12.4,6,2,0371
331,确,què,"sure, certain; real, true",石,112.7,12,4,2591
332,传,chuán,"summon; propagate, transmit",人,9.4,6,4,0455
333,师,shī,"teacher, master, specialist",巾,50.3,6,1,0413
334,观,guān,"see, observe, view; appearance",見,147.2,6,4,0586
335,清,qīng,"clear, pure, clean; peaceful",水,85.8,11,3,2410
336,今,jīn,"now, today, modern era",人,9.2,4,1,0144
337,切,qiè,"cut, mince, slice, carve",刀,18.2,4,4,0107
338,院,yuàn,"courtyard, yard, court; school",阜,170.7,9,1,1734
339,让,ràng,"allow, permit, yield, concede",言,149.3,5,2,0317
340,识,shí,"recognize, understand, know",言,149.5,7,1,0892
341,候,hòu,wait; expect; visit; greet,人,9.8,10,1,1964
342,带,dài,"belt, girdle, band, strap, zone",巾,50.6,9,3,1407
343,导,dǎo,"direct, guide, lead, conduct",寸,41.3,6,4,0567
344,争,zhēng,"dispute, fight, contend, strive",亅,6.5,6,4,0508
345,运,yùn,run; simplified form of ,辵,162.4,7,2,0611
346,笑,xiào,"smile, laugh, giggle; snicker",竹,118.4,10,2,1952
347,飞,fēi,fly; go quickly; dart; high,乙,5.2,3,1,0069
348,风,fēng,"wind; air; manners, atmosphere",風,182.0,4,3,0154
349,步,bù,"step, pace; walk, stroll",止,77.3,7,2,0710
350,改,gǎi,"change, alter; improve, remodel",攴,66.3,7,4,0908
351,收,shōu,"gather together, collect; harvest",攴,66.2,6,4,0573
352,根,gēn,"root, base(d on); foundation",木,75.6,10,3,1850
353,干,gàn,"oppose, offend; invade; dried",干,51.0,3,3,0023
354,造,zào,"construct, build, make, begin; prepare",辵,162.7,10,5,1940
355,言,yán,"words, speech; speak, say",言,149.0,7,4,0826
356,联,lián,"connect, join; associate, ally",耳,128.6,12,4,2544
357,持,chí,"sustain, support; hold, grasp",手,64.6,9,4,1367
358,组,zǔ,"class; section, department",糸,120.5,8,5,1338
359,每,měi,"every, each",毋,80.3,7,2,0767
360,济,jì,"help, aid, relieve; ferry, cross",水,85.6,9,4,1678
361,车,chē,"cart, vehicle; carry in cart",車,159.0,4,1,0100
362,亲,qīn,"relatives, parents; intimate the hazel nut or filbert tree a thorny tree",立,117.4,9,4,1631
363,极,jí,"extreme, utmost, furthest, final",木,75.3,7,3,0687
364,林,lín,"forest, grove; surname",木,75.4,8,4,1018
365,服,fú,"clothes; wear, dress",月,74.4,8,1,1190
366,快,kuài,"rapid, quick, speedy, fast; soon",心,61.4,7,2,0876
367,办,bàn,"manage, do, handle; deal with",力,19.2,4,3,0181
368,议,yì,"consult, talk over, discuss",言,149.3,5,3,0320
369,往,wǎng,"go, depart; past, formerly",彳,60.5,8,2,1160
370,元,yuán,first; dollar; origin; head,儿,10.2,4,3,0080
371,英,yīng,"petal, flower, leaf; brave, a hero; England, English",艸,140.5,8,5,1006
372,士,shì,"scholar, gentleman; soldier",士,33.0,3,4,0028
373,证,zhèng,"prove, confirm, verify; proof",言,149.5,7,4,0885
374,近,jìn,"near, close; approach; intimate",辵,162.4,7,2,0791
375,失,shī,"lose; make mistake, neglect",大,37.2,5,4,0265
376,转,zhuǎn,"shift, move, turn",車,159.4,8,4,1059
377,夫,fū,"man, male adult, husband; those",大,37.1,4,2,0079
378,令,lìng,,人,9.3,5,5,0282
379,准,zhǔn,"approve, allow, permit; in accord",冫,15.8,10,2,2024
380,布,bù,"cotton cloth, textiles, linen",巾,50.2,5,5,0218
381,始,shǐ,"begin, start; then, only then",女,38.5,8,2,1329
382,怎,zěn,what? why? how?,心,61.5,9,1,1543
383,呢,ne,interrogative or emphatic final; (Cant.) this,口,30.5,8,1,1102
384,存,cún,"exist, live, be; survive; remain",子,39.3,6,4,0391
385,未,wèi,not yet; 8th terrestrial branch,木,75.1,5,5,0192
386,远,yuǎn,"distant, remote, far; profound",辵,162.4,7,2,0608
387,叫,jiào,"cry, shout; hail, greet, call",口,30.2,5,1,0253
388,台,tái,platform; unit; term of address,口,30.2,5,4,0342
389,单,dān,"single, individual, only; lone",八,12.6,8,3,1232
390,影,yǐng,"shadow; image, reflection; photograph",彡,59.12,15,1,3240
391,具,jù,"tool, implement; draw up, write",八,12.6,8,4,1077
392,罗,luō,net for catching birds; gauze,网,122.3,8,,1108
393,字,zì,"letter, character, word",子,39.3,6,1,0548
394,爱,ài,"love, be fond of, like",爪,87.6,10,1,1987
395,击,jī,"strike, hit, beat; attack, fight",凵,17.3,5,5,0195
396,流,liú,"flow, circulate, drift; class",水,85.6,10,4,2080
397,备,bèi,"prepare, ready, perfect",夂,34.5,8,2,1200
398,兵,bīng,"soldier, troops",八,12.5,7,5,0768
399,连,lián,"join, connect; continuous; even",辵,162.4,7,4,0708
400,调,diào,"transfer, move, change; tune",言,149.8,10,3,2123
401,深,shēn,"deep; depth; far; very, extreme",水,85.8,11,4,2432
402,商,shāng,"commerce, business, trade",口,30.8,11,1,2391
403,算,suàn,"count, calculate, figure; plan",竹,118.8,14,3,3121
404,质,zhì,"matter, material, substance",厂,27.4,8,4,1157
405,团,tuán,"sphere, ball, circle; mass, lump",囗,31.3,6,5,0425
406,集,jí,"assemble, collect together",隹,172.4,12,5,2694
407,百,bǎi,"one hundred; numerous, many",白,106.1,6,2,0389
408,需,xū,"need, require, must",雨,173.6,14,3,3095
409,价,jià,"price, value",人,9.4,6,4,0469
410,花,huā,flower; blossoms,艸,140.4,7,3,0665
411,党,dǎng,"political party, gang, faction",儿,10.8,10,6,1885
412,华,huá,flowery; illustrious; Chinese,十,24.4,6,5,0472
413,城,chéng,"castle; city, town; municipality",土,32.7,9,3,1373
414,石,shí,"stone, rock, mineral; rad. 112",石,112.0,5,5,0216
